external_id,task_id,primary_topic_id,primary_topic_title,confidence,difficulty,action
"159027","b28982f9-53b1-4910-ba81-40a451fabdd7","a61293f9-8a4a-4a9d-836c-fb1d617bf961","Графики движения (x-t, v-t, a-t)","0.95","средняя","inserted"
"13527","f3cbed88-1cc8-473b-9e63-7084ea61758f","d990b470-e47d-4f73-b895-427f26b0c233","Гармонические колебания","0.95","средняя","inserted"
"64216","a0d41134-7962-4888-8332-028477419c5b","d990b470-e47d-4f73-b895-427f26b0c233","Гармонические колебания","0.95","средняя","inserted"
"96183","30f50100-41ca-45a3-bd21-f8872aaa8593","d990b470-e47d-4f73-b895-427f26b0c233","Гармонические колебания","0.95","средняя","inserted"
"94350","3841d880-b8db-489a-9b1d-951e4696e7ad","a61293f9-8a4a-4a9d-836c-fb1d617bf961","Графики движения (x-t, v-t, a-t)","0.95","средняя","inserted"
"102984","b18ac5d4-499d-44cd-9cea-e84b1e87d5c0","a61293f9-8a4a-4a9d-836c-fb1d617bf961","Графики движения (x-t, v-t, a-t)","0.95","средняя","inserted"
"92489","7c8c5e08-979e-4d31-9408-d8f29c58860d","f930f7a2-dcae-4a22-b546-9131c952c71d","Движение по окружности","0.95","средняя","inserted"
"84914","73c18f25-b59b-4bdc-abee-1b33ba3e8370","d990b470-e47d-4f73-b895-427f26b0c233","Гармонические колебания","0.95","средняя","inserted"
"107675","c4dccf36-3a44-4375-97a9-a4595ddc3225","ffca6ba7-889d-4abe-8d92-e1e1d5ab1c49","Давление жидкости","0.95","средняя","inserted"
"65188","b2c3a684-a492-4351-b2ba-d29b0d715250","d990b470-e47d-4f73-b895-427f26b0c233","Гармонические колебания","0.95","средняя","inserted"
"13522","e40ae90e-598f-4153-bf61-d89d7860ea22","ffca6ba7-889d-4abe-8d92-e1e1d5ab1c49","Давление жидкости","0.95","средняя","inserted"
"102424","1fb3dcd4-b265-4a6b-b1ad-11228a2084d8","81ff7bcf-312a-4e72-ac82-de97b383b6bf","Закон Архимеда, плавание тел","0.95","средняя","inserted"
